,hoax,link,timestamp
1,"Así lo declaró Lionel #Messi, jugador estrella de la selección de Argentina: “Como embajador de @UNICEF no puedo jugar contra personas que matan a niños palestinos inocentes. Tuvimos que cancelar el juego porque somos humanos antes que futbolistas”. #Messi @UNICEF",http://www.hablillas.org/deporte/messi-dice-israel-mata-ninos-palestinos/,2018-06-07 18:07:17
2,"“COMO CAMBIAN LAS COSAS” El actor Arnold Schwarzenegger publicó una foto de él mismo durmiendo en la calle, bajo su famosa estatua de bronce, y escribió: “Cómo han cambiado los tiempos” ... La razón por la que escribió la frase no fue solo porque era viejo, sino porque cuando era gobernador de California inauguró ese hotel con su estatua. La administración del hotel le dijo a Arnold: “En cualquier momento puede venir y siempre tendrá una habitación separada para usted”. Cuando Arnold renunció como gobernador. Un día se quería hospedar en el hotel. La administración se negó a darle una habitación argumentando que debería pagar. Él trajo un “Sleeping Bag” (bolsa de dormir) y se acostó debajo de la estatua. Luego explicó lo que quería transmitir: “Cuando estaba en una posición importante, siempre me felicitaban, y cuando perdí esta posición, se olvidaron de mí y no cumplieron su promesa. No confíes en tu posición ni en la cantidad de dinero que tienes, ni tu poder, ni tu inteligencia, eso no durará”. Cuando eres “Importante” ante los ojos de la gente, todos son tus “Amigos”; pero una vez que no beneficies o suplas sus intereses, no importarás. No siempre eres quien crees que siempre serás, nada dura para siempre. La gente va y viene; los intereses de cada cual cambian de la noche a la mañana; hoy pueden abrazarte y mañana traicionarte e incluso pisotearte. #Aprender a escoger bien nuestras #relaciones, alejarnos de los tóxicos y oportunistas, tomarnos el tiempo para colocar, en nuestros círculos de #confianza, a aquellos que nos amen por lo que somos, y no por lo que nos puedan sacar por interés o rechazar por desinterés. Toma tiempo, pero NO ES IMPOSIBLE, porque todavía hay gente genuina y a pesar de ser imperfectos, buscan ser mejores hoy que ayer. #Aprender #confianza",http://www.hablillas.org/entretenimiento/arnold-schwarzenegger-estatua/,2018-06-06 23:03:17
3,"Lluvia de PECES, en Tailandia!! Llovió pescado en Tailandia esta mañana, según noticias de la BBC. En lugar de una lluvia de agua o nieve, fue una lluvia de peces. Dios es poderoso!!! Los científicos siguen confundidos con este misterioso evento. Por supuesto, donde el conocimiento del hombre termina allí es donde el poder de Dios comienza. La explicación de este fenómeno, se conoce como tromba marina, un tornado toca tierra en el mar y succiona todo a su paso descargándolo en el lugar donde se disuelve el tornado. Aquí está el video...",http://www.hablillas.org/mundo/lluvia-de-peces-cayo-en-tailandia/,2018-06-03 18:35:45
4,"Conducir bajo fuerte lluvia. Hay que poner en la guantera unas gafas para sol, para tenerlas a mano cuando llueva. Cómo conseguir buena visión cuando se conduce con lluvia fuerte. Es ésta una sugerencia de un amigo, policía de tráfico, que la experimentó y la confirmó y es útil igual en conducción nocturna. La mayoría de los automovilistas pone los limpiaparabrisas en la velocidad mas rápida o máxima durante las lluvias fuertes, sin embargo la visibilidad hacia delante sigue siendo mala. En caso de enfrentarse a una situación de este tipo póngase unas gafas de sol (sirve cualquier modelo). Es un milagro. De repente su visibilidad a través del parabrisas es perfecta y clara, como si no lloviese. Asegúrese, siempre, de llevar un par de gafas de sol en la guantera de su coche para poderse ayudar a conducir con mas seguridad y buena visión. Usted, también puede salvar la vida de un amigo/a compartiendo esta información con el/ella. ¡Increíble! Vd. seguirá viendo las gotas de agua en su parabrisas pero no la lámina de agua que forma la lluvia. Podrá observar, también, cómo las gotas de lluvia saltan para fuera de la carretera y los rebotes en el frente de su coche. Esta pequeña instrucción debería ser incluida en la formación de los conductores. Realmente funciona. Si te parece......reenvíalo , puede serle útil a alguien...",http://www.hablillas.org/salud/gafas-para-el-sol-conducir-llueve/,2018-05-29 00:02:19
5,"Limón en agua caliente. El tema es muy importante: Por favor publiquen el mensaje de una manera ampliamente divulgada. El profesor Tchen Horin el director general del hospital del ejército en Pekín habla .. Que la limonada caliente puede salvarte en toda tu vida. Incluso si usted está ocupado, debe echar un vistazo a este mensaje y pasarlo a los demás! ¡El limón caliente puede matar a las células cancerígenas! Corte el limón en tres pedazos y colóquelos en un vaso y vierta en ellos el agua caliente, esa agua se vuelve (un agua alcalina). Beben a diario y seguramente va a beneficiar a cualquier persona. El limón caliente puede liberar una sustancia contra las células cancerígenas, y él la más reciente investigación y desarrollo de tratamiento eficaz contra el cáncer en el campo de la medicina. La limonada del Hawthorn es sólo una vitamina C, además, los tomates también deben ser cocidos para tener el Licopeno.. El jugo de limón caliente tiene un efecto sobre los tumores y las bolsas cancerosas .. Esto había demostrado una cura para todos los tipos de cáncer. El tratamiento con este extracto sólo destruirá las células malignas y no afectará a las células sanas. En segundo lugar: Los ácidos y el ácido monoalcólico que están presentes en el jugo de limón pueden regular la presión alta y proteger las arterias de no quedar estrechas, ajustar la circulación sanguínea y reducir la coagulación de la sangre. Después de leer este mensaje, cuéntale a alguien sobre esto y pase a los que amas y cuidas de tu propia salud. Consejos:  El profesor Tchen Horin afirma que cualquiera que reciba está mensaje tiene la garantía de por lo menos salvar la vida de alguien.... Yo hice mi parte, y espero que ustedes me ayuden a publicarla también.. Hagan la parte de ustedes.",http://www.hablillas.org/salud/limon-agua-caliente-celulas-cancerigenas/,2018-05-25 18:12:58
6,"Un video publicado en las redes sociales y que se ha vuelto viral, muestra el momento en que Nicolás Maduro saluda a un público inexistente tras emitir su voto en Catia. Maduro fue reelegido hasta 2025 con más de 5.823.728 (67,7%) de sufragios, según el Consejo Nacional Electoral (CNE) de Venezuela. #INCREÍBLE. Así manipulan los canales estatales de estos gobiernos vividores del pueblo. #Maduro saluda un patio vacío y en la tv sale como si saludaria a una multitud de gente. #INCREÍBLE #Maduro",http://www.hablillas.org/politica/maduro-saluda-al-vacio/,2018-05-22 19:18:08
9,"Fleming salvó de la muerte a Winston Churchill Alexander Fleming, el descubridor de la penicilina. Como cada día, Fleming, un agricultor pobre de Inglaterra, estaba trabajando la tierra para poder mantener a su familia, cuando escuchó a alguien pidiendo ayuda desde un pantano cercano. Inmediatamente soltó sus herramientas y corrió hacia aquel lugar. Allí, enterrado hasta la cintura en el lodo negro, estaba un niño aterrorizado, gritando y luchando tratando de liberarse del lodo. Fleming salvó al niño de lo que pudo ser una muerte lenta y terrible. Al día siguiente, un carruaje muy pomposo llegó hasta las propiedades del agricultor. Un noble inglés, elegantemente vestido, se bajó del vehículo y se presentó como el padre del niño que Fleming había salvado: -“Quiero recompensarlo,” dijo el noble británico. “Usted salvó la vida de mi hijo”. – “No puedo aceptar una recompensa por lo que hice”, respondió Fleming, rechazando la oferta. En ese momento, el hijo del agricultor salió a la puerta de la casa. – “¿Es ese su hijo?” preguntó el noble. – “Sí,” repuso el agricultor lleno de orgullo. – “Le voy a proponer un trato. Déjeme llevarme a su hijo y ofrecerle una buena educación. Si él es parecido a su padre crecerá hasta convertirse en un hombre del cual usted estará muy orgulloso.” Fleming aceptó. Con el paso del tiempo, el hijo de Fleming el agricultor se graduó en la Escuela de Medicina de St. Mary’s Hospital en Londres y se convirtió en un personaje conocido en todo el mundo, el notorio Sir Alexander Fleming, el descubridor de la Penicilina. Con un cierto retraso, la fama alcanzó por fin a Alexander, quien fue elegido miembro de la Royal Society en 1942, recibió el título de Sir dos años más tarde y, por fin, en 1945, recibió el premio Nobel. Alexander Fleming falleció en Londres, el 11 de marzo de 1955. Algunos años después, el hijo del noble inglés, cayó enfermo de pulmonía. ¿Qué lo salvó?.. La Penicilina. ¿El nombre del noble inglés?... Randolph Churchill. ¿El nombre de su hijo?... Sir Winston Churchill. Y luego dicen que las pequeñas cosas no son importantes.",http://www.hablillas.org/salud/alexandre-fleming-salvo-churchill/,2018-05-17 13:12:11
10,"Fotos tomadas a las 3,30 de la madrugada en la frontera Chino-tibetana a 5580 m de altitud. Será necesario otros 150 años para ver las mismas imágenes.  EQUINOCCIO DE PRIMAVERA: El Sol, visto desde la Tierra, pasa por el Ecuador. Es el llamado Punto Vernal que marca el inicio de la Primavera. Es el verdadero comienzo del año, en términos cósmicos.",http://www.hablillas.org/mundo/punto-vernal-fotos-frontera-chino-tibetana/,2018-05-14 17:21:08
15,Hola gente se que el grupo no es para esto pero alguien me puede decir en que cementerio de San Luis paso esto?? Me paso lo mismo en el cementerio del ROSARIO hace un par de años y no he vuelto a ir al cementerio!!! COMPARTIR!!!!!!,http://www.hablillas.org/latinoamerica/fantasma-aparece-en-cementerio/,2018-04-26 13:18:11
16,"COMER FRUTA – Algo que da que pensar. El Dr. Stephen Mak trata pacientes enfermos de cáncer con métodos muy poco ortodoxos y muchos de ellos se han recuperado. Él cree en curas naturales contra las enfermedades del cuerpo. Vean el artículo abajo. Las frutas y los jugos ofrecen una de las estrategias para curar el cáncer. En lo acontecido últimamente, mi éxito en curar el cáncer se acerca al 80%. Los pacientes con cáncer no deberían morir porque la cura para el cáncer ya ha sido hallada. Es si usted lo cree o no. Estoy apesadumbrado por los centenares de los pacientes de cáncer quienes mueren bajo tratamientos convencionales. Que Dios los bendiga. Dr Stephen Mak Todos pensamos que comer frutas tan solo significa comprar las frutas, cortarlas y meterlas a nuestras bocas. No es tan fácil como ustedes piensan. Es importante saber cómo y cuándo comerlas. ¿Cuál es la manera correcta de comer las frutas? ¡SIGNIFICA NO COMER LAS FRUTAS DESPUÉS DE SUS COMIDAS! *LAS FRUTAS SE DEBEN COMER CON EL ESTÓMAGO VACIO. [...]¡Así que por favor coman sus frutas en un estómago vacío ó antes de sus comidas!",http://www.hablillas.org/salud/comer-frutas-estomago-vacio-cancer/,2018-04-23 23:54:25
17,Pero sabías que una simple aguja puede salvar la vida de una persona en un accidente cerebrovascular? Un accidente cerebrovascular es una emergencia cardiaca.  Los capilares en el cerebro se desgarran cuando una persona está sufriendo un derrame cerebral. Una rápida reacción y una aguja esterilizada son útiles en esta condición. No trate de mover a la persona ya que los capilares podrían estallar en el cerebro causando sangrado interno. Trate de que la aguja se caliente en fuego un poco sólo para esterilizarla. Cuando haya terminado empiece a pinchar rápido y  solo unos pocos milímetros en todos los dedos de la mano.  Hacemos esto para hacer que fluya la sangre. Si no ve sangre apriete los dedos para permitir el flujo sanguíneo. Cuando los dedos comiencen a sangrar el paciente comenzara a recuperar la conciencia.,http://www.hablillas.org/salud/aguja-salva-alguien-derrame-cerebral/,2018-04-20 11:26:03
18,"El Papa Francisco cancela la Biblia y propone crear un libro nuevo: El Papa Francisco ha dado hoy la sorpresa al anunciar que la Biblia ya se ha quedado totalmente anticuada y que necesita un cambio radical, por lo que la da oficialmente por cancelada y ha anunciado una reunión entre los más altos cargos de la iglesia donde se decidirá el libro que la sustituirá, su nombre y su contenido. Ya se están barajando algunos nombres y el que tiene más fuerza es del de “Biblia 2000”.",http://www.hablillas.org/religion/papa-francisco-cancela-la-biblia/,2018-04-17 17:05:25
20,"Una de las leyendas más extraordinarias tiene lugar en una tienda de vestidos de novia en Chihuahua, donde desde hace décadas un maniquí del aparador es objeto de múltiples relatos de corte sobrenatural. Le llaman “La Pascualita”, y basta con mirarla un rato para descubrir que sus rasgos y detalles son escalofriantemente reales: La expresión de sus ojos, las líneas de sus manos y forma de las uñas, el pelo insertado en su cuero cabelludo, o su tez de apariencia humana son algunos de estos elementos desconcertantes que le han dado fama a este enigmático maniquí.",http://www.hablillas.org/latinoamerica/cuerpo-nina-muerta-maniqui-mexico/,2018-04-15 12:43:02
21,"Hola, soy Mark Zuckerberg El Director de Facebook. Hola a todos, parece que todas las advertencias fueron reales, el uso de Facebook costará dinero. Si envía esta cadena a 18 diferentes de su lista, su icono será azul y será gratis para usted. Si no me crees mañana a las 6 pm ese facebook estará cerrado y para abrirlo tendrás que pagar, esto es todo por ley. Este mensaje es para informar a todos nuestros usuarios, que nuestros servidores han estado muy congestionados recientemente, por lo que le pedimos su ayuda para resolver este problema. Requerimos que nuestros usuarios activos reenvíen este mensaje a cada una de las personas en su lista de contactos para confirmar a nuestros usuarios activos de Facebook. Si no envía este mensaje a todos sus contactos de Facebook, su cuenta permanecerá inactiva con la consecuencia de perder todo. su cont la transmisión de este mensaje. Su SmartPhone se actualizará dentro de las próximas 24 horas, tendrá un nuevo diseño y un nuevo color para el chat. Estimados usuarios de Facebook, vamos a hacer una actualización para Facebook a partir de las 23:00 p.m. hasta las 05:00 a.m. en este día. Si no envía esto a todos sus contactos, la actualización se cancelará y no tendrá la posibilidad de chatear con sus mensajes de Facebook. Va a pagar a menos que sea un usuario frecuente. Si tienes al menos 10 contactos Envía este sms y el logo se pondrá rojo para indicar que eres un usuario confirmado ... Lo terminamos gratis. Mañana comienzan a recolectar los mensajes para Facebook a 0.37 centavos Reenvía este mensaje a más de 9 personas de tus contactos y estará libre de vida para que lo mires y se volverá verde la bola de arriba hazlo y verás",http://www.hablillas.org/tecnologia/mark-facebook-cerrado-costara-dinero/,2018-04-14 10:30:21
22,"Estado de México.- Un pastor evangélico, de nombre Jorge Villarreal, de 60 años, originario de Chalco, Estado de México, anunció por medio de redes sociales que se iba a casar con una menor de 12 años de edad. En su publicación de Facebook, el hombre aseguró que esa decisión no la tomó por si mismo, si no que Diosse lo había dicho.  El pastor mencionó qué recibió un llamado de Dios quien le ordenó que se casara con Karla, la niña de 12 años, ya que su esposa Lidia le fue infiel.",http://www.hablillas.org/religion/pastor-casarse-nina-12-dios/,2018-04-10 19:06:21
23,"LEER...URGENTE..! POR TU ORDENADOR Y POR EL MIO, HAZ CIRCULAR ESTE AVISO A TUS AMISTADES, FAMILIA, CONTACTOS !!! En los próximos días, debes estar atento: No abras ningún mensaje con un archivo anexo llamado: ” “Actualizacion de Windows live”, independientemente de quien te lo envíe. Es un virus que quema todo el disco duro. Este virus vendra de una persona conocida que te tiene en su lista de contactos,.es por eso que debes de enviar este mensaje a todos tus contactos !! Si recibes el mensaje llamado: “Actualización de Windows live”, aunque sea enviado por un amigo, no lo abras y apaga tu máquina inmediatamente. Es el peor virus anunciado por CNN. Ha sido clasificado por Microsoft como el virus más destructivo que haya existido. Este virus fue descubierto ayer por la tarde por Mc Afee. Y no hay arreglo aún para esta clase de virus. Este virus destruye simplemente el Sector Zero del Disco Duro. RECUERDA: SI LO REENVÍAS NOS BENEFICIAS A TODOS...",http://www.hablillas.org/tecnologia/cnn-virus-actualizacion-windows-live/,2018-04-08 09:55:21
24,"Este Jueves Santo, la feligresía católica fue conmovida por una entrevista al papa Francisco en la que el Sumo Pontífice afirma que “el infierno no existe”. La entrevista fue realizada por el célebre periodista italiano Eugenio Scalfari, amigo personal del Santa Padre, y publicada en el diario La República. [...] -Su Santidad, en nuestra reunión anterior me dijo que nuestra especie desaparecerá en algún momento y que Dios siempre creará otras especies a partir de su semilla creadora. Nunca me habló de las almas que murieron en el pecado y se van al infierno por toda la eternidad. Me habló, por el contrario, de buenas almas y me admitió la contemplación de Dios. ¿Pero las almas malas? ¿Dónde están castigadas? -No son castigadas. Las que se arrepienten obtienen el perdón de Dios y van a la filas de las almas que lo contemplan, pero las que no se arrepienten y por lo tanto no pueden ser perdonadas, desaparecen. No existe un infierno, existe la desaparición de las almas pecadoras.",http://www.hablillas.org/religion/papa-dice-que-el-infierno-no-existe/,2018-04-05 18:21:49
26,"Todo el país está de luto, descanse en paz Andrés Guardado, el principito quien tendría su próximo partido pero ya no pudo llegar gracias a este trailero. COMPARTE POR FAVOR. José Andrés Guardado Hernández conocido como el principito actual jugador de Real Betis en España, quien tendría participación el día 24 de Marzo con la selección Mexicana de futbol, ya que se enfrentan a su similar de Islandia, lamentablemente no pudo llegar a el encuentro, la tarde del día de ayer sufrió un aparatoso accidente en la unidad en la que viajaba Andrés con rumbo a concentración en los Ángeles california, se impacto con un tráiler. [...] Te pedimos tengas cuidar tus comentarios, se prudente ya que la familia de nuestro querido guardado esta pasando por algo muy feo, por favor APOYA COMPARTIENDO LA NOTICIA QUE EN TELEVISION NO HA SALIDO y se desconoce la razón, pues hoy en día si no disfrazan la noticia la OCULTAN. COMPARTE POR FAVOR",http://www.hablillas.org/deporte/guardado-seleccion-mexico-murio/,2018-03-26 17:46:08
27,"BESARIAN A ESTA MUJER? y aparece una foto de la virgen, y abajo dice: El presidente de argentina recibió una carta ,y la llamó ‘basura’ ,y a los 8 ,días murió su hijo. Un señor recibió la carta las repartió y la sorpresa q’ sacó fue la lotería. Alberto Martínez recibió la carta y la mando hacer con su secretaria , pero olvidaron de repartirlas: ella perdió su empleo y él su familia. Esta carta es milagrosa y sagrada , no te olvides de reenviarla antes de los 13 dias Tienes que enviarla a más de 20 personas en 13 días. No lo olvides. Que recibirás una gran sorpresa sorpresa!!! ¿Adonde miercoles vieron que a nuestro presidente (o presidenta) se les murio un hijo?.",http://www.hablillas.org/religion/presidente-argentina-foto-virgen-basura/,2018-03-25 21:02:25
28,"SU EXPERIENCIA, NOS ACONSEJA [...] Mientras usted aún esté sano y no muestre ningún síntoma de H1N1, a fin de prevenir la proliferación, agravamiento de los síntomas y desarrollo de infecciones secundarias, siga estos simples pasos, que no destacan en las comunicaciones oficiales, y que se pueden poner en práctica, en lugar de enfocarse en cómo almacenar N95 o Tamiflú. 1. Lavarse las manos con frecuencia. 2. Resista la tentación de tocarse la cara, cualquier parte de la cara, a menos que vaya a comer o bañarse. 3. Haga gárgaras dos veces al día con agua de sal tibia (use Listerine si no confía en la sal). H1N1 permanece en la garganta y en la cavidad nasal dos o tres días después del contagio, y luego muestra sus síntomas característicos. Simples gargarismos previenen su proliferación. Las gárgaras con agua de sal tienen el mismo efecto en un individuo sano que el Tamiflú en una persona infectada. No subestime este simple, baratísimo y poderoso método preventivo. 4. Limpie sus fosas nasales al menos una vez al día con agua de sal tibia- Sonarse fuerte una vez al día y limpiar la nariz con cotonetes humedecidos en el agua de sal tibia. Es muy efectivo y disminuye la población viral. 5. Refuerce su sistema inmunológico con alimentos ricos en vitamina C. Si toma un suplemento de vitamina C, cerciórese de que también contiene Zinc, que estimula su absorción. 6. Beba muchos líquidos tibios, te, café, etc, tanto como pueda. Beber líquidos tibios tiene el mismo efecto de las gárgaras, pero en sentido inverso.Llevan los virus al estómago, en donde no pueden sobrevivir, proliferar o causar algún daño. Te sugiero que pases estas recomendaciones a toda tu lista de contactos.",http://www.hablillas.org/salud/dvinay-goyal-protegerse-gripe-abril/,2018-03-23 12:01:03
